Recipe,Brand,Category,# Missing,Missing Ingredients
Custom Stir Fry,aiko,Mains,13,Chilli Garlic Sauce - Wok hei sauce; Teriyaki Sauce - Sesame seed; Teriyaki Sauce - Water; Wok Hei Sauce - Black pepper; Wok Hei Sauce - Water; Yaki Soba Sauce - Black pepper; Yaki Soba Sauce - Corn starch; Yaki Soba Sauce - Crushed black pepper; Yaki Soba Sauce - Hot sauce; Yaki Soba Sauce - Oyster sauce; Yaki Soba Sauce - Soy sauce; Yaki Soba Sauce - Sugar; Yaki Soba Sauce - Water
New Dimsum Platter,aiko,Dimsum,10,Broad Beans; Cheese & Chilli Dumplings; Chestnut Gyoza; Chili Crisp; Forest Dip; Forest Dumplings; Gyoza dip; Red Momos Sauce; Saucy Momos; Truffle Edamame Dumplings
Gimbap 1,aiko,Sushi,5,Fried Tofu toss on soy; Nori sheets; Pickled radish; Sautéed spinach with soy & garlic; Unagi
Shoyu Ramen,aiko,Noodles,5,Dashi; Maida noodles; Scallion oil; Shoyu tare; Veg stock
Cheese Chilli Dumplings,aiko,Dimsum,4,Chestnut; Cumin powder; Hing; Pickled red Bhavnagri
Chilli Oil Dumplings,aiko,Dimsum,4,Chilli Oil Dumplings filling; Chilli Oil Dumplings paste; Fried glass noodles; Sichuan powder
Kwispy Scallion Pancake,aiko,Sides,4,Green garlic cream cheese; Scallion Pancake; Scallion salad; Sichuan soy glaze
Lasagna,capiche,Pasta,4,Celery (diced); Lasagna sheets (oven-ready); Nutmeg; Soy chunks (textured)
Pasta Fritti 2.0,capiche,Pasta,4,Batter; Pasta sheet 22 g x 2; Ricotta filling 15 g each; Seasoning
Pistachio Mousse Cake,capiche,Desserts,4,Kunafa base; Pistachio mousse; Pistachio sponge; White chocolate décor
Tofu Bao,aiko,Dimsum,4,Bao; Bao sauce base; Coleslaw; Tofu batter
Bombay Blues Roll,aiko,Sushi,3,Nori; Salsa; Tempura flex
Chestnut Gyoza,aiko,Dimsum,3,Chestnut; Oil + Water (for steaming); Slurry
Drunken Noodles,aiko,Noodles,3,Drunken sauce; Flat noodles; Mixed mushroom
General Tso's Water Chestnuts,aiko,Sides,3,Drunken sauce; Gyoza dip; Water chestnut flour
Hakka Noodles,aiko,Noodles,3,Boiled hakka noodles; Ginger-garlic paste; Hakka sauce
Okonomiyaki Gyoza (6 Pcs),aiko,Dimsum,3,Boiled soy keema; Chilli besan paste; Stock pwd
Thai Curry,aiko,Mains,3,Green paste; Scallion oil; Sesame mix
Thai Spring Roll,aiko,Appetiser,3,Black Vinegar; Sichuan Sauce; Thai Spring Filling
Volcano 1,aiko,Sushi,3,Chilly crisps and oil; Nori sheet; Wasabi paste
Arancini,capiche,Appetiser,2,Arancini batter; Cooked risotto rice mix
Caramelised Onion Pasta,capiche,Pasta,2,1 ladle water; Mix seasoning
Creamy Corn Rocks,aiko,Sides,2,Corn Rocks sauce; Sweet corn puree
Dragon Roll,aiko,Sushi,2,Dragon sauce; Nori half sheet
Jalapeño Popper Roll,aiko,Sushi,2,Fried spring roll; Nori
Korean Mandu,aiko,Sides,2,Julienne cut nori sheet; Korean Mandu filling
Kwispy Wonton,aiko,Appetiser,2,Chilli crisps; Kwispy Wonton filling
Pad Thai,aiko,Noodles,2,Ginger-garlic paste; Pad Thai sauce
Peanut Butter Ramen,aiko,Noodles,2,Ginger paste; Ramen noodles
Risotto,capiche,Pasta,2,Béchamel; Peas
Roasted Red Bell Pepper Soup,capiche,Soups,2,Roasted bell pepper paste; Sourdough
Saucy Brussels Sprouts,capiche,Vegetable,2,Plain mayonnaise; Salt & black pepper
Spiced Miso Ramen,aiko,Noodles,2,Ginger paste; Ramen noodles
Sticky Toffee Pudding,capiche,Desserts,2,Caramel sauce; Sticky toffee pudding
Stuffed Conchiglioni,capiche,Pasta,2,Conchiglioni; Garlic pomodoro sauce
Tiramisu 3.0,capiche,Desserts,2,Coffee sponge; Tuile décor
Tokyo Style Pizza (Dough Base),aiko,Pizza,2,Cold water; Water (Biga)
Alfredo Fettuccine,capiche,Pasta,1,Béchamel
Avocado Roll,aiko,Sushi,1,Nori
Brownie With Ice Cream,capiche,Desserts,1,Cookies & cream ice cream
Buttery Chilli Garlic Noodles,aiko,Noodles,1,Boiled noodles
Caesar Salad,capiche,Salads,1,Caesar mayo
Cold Spicy Sesame Noodles,aiko,Noodles,1,Cold Spicy Sesame sauce
Corn Tempura Roll,aiko,Sushi,1,Nori
Garlic Bread,capiche,Appetiser,1,Bread base
Katsu Curry,aiko,Mains,1,Scallion oil
Kwispy Lotus Root,aiko,Sides,1,Lotus root sauce
Lemon Iced Tea,capiche,Drinks,1,Iced tea (Tata Gold)
Lemon Linguini,capiche,Pasta,1,Boiled linguini
Mint Mojito,capiche,Drinks,1,Kinley Soda
Miso Tomato Soup,capiche,Soups,1,Bay leaf (remove before blending)
Moscow Mule,capiche,Drinks,1,Gunsberg Ginger Beer
Pink Burrata Pasta,capiche,Pasta,1,Pumpkin seeds & pistachios (crushed & mixed)
Spicy Tomato & Cream Macaroni,capiche,Pasta,1,Orange (creamy tomato) sauce
Steamed Edamame (Chilli / Salted),aiko,Sides,1,Chilli Crisp (for chilli version)
Summer Burrata Salad,capiche,Salads,1,Granola (chopped)
Tamarind Fizz,capiche,Drinks,1,Tamarind syrup
Tomato Butter Risotto,capiche,Risotto,1,Pesto dollop
Tteokbokki,aiko,Sides,1,Tteokbokki sauce
